student_id,student_name,age,gender,country,course_id,course_name,category,price_inr,enrollment_date,device_used,payment_method,time_spent_hours,completion_pct,completion_status,certificate_issued,num_quizzes_taken,quiz_avg_score,rating,dropout_flag,last_login_date
STU00819,Robin Andrews,26.0,Male,India,CRS157,Cloud Computing Masterclass Bootcamp,Cloud Computing,2471.22,2026-05-08,Tablet,Net Banking,32.9,100.0,Completed,Yes,3,74.9,4.7,No,2026-09-12
STU00828,Brian Mora,36.0,Other,India,CRS129,Digital Marketing Masterclass Intermediate,Digital Marketing,2500.8,2025-07-26,Mobile,Net Banking,19.6,71.4,In Progress,No,4,87.2,4.0,No,2026-04-11
STU00234,Sandra Drake,36.0,Female,UAE,CRS154,Data Science Masterclass Bootcamp,Data  Science,5632.92,2025-10-01,Desktop,Wallet,6.0,7.4,Not Started,No,1,78.6,,No,2026-06-05
STU01231,Joe Johnson,31.0,Female,Germany,CRS135,Digital Marketing Masterclass Bootcamp,digital marketing,2145.16,2025-10-03,Tablet,Debit Card,17.6,88.0,In Progress,No,5,81.7,4.4,No,2026-01-21
STU00854,Shawn Kelley,16.0,Female,Canada,CRS179,Digital Marketing Masterclass Bootcamp,digital marketing,2691.4,2025-06-13,Mobile,UPI,6.3,41.3,In Progress,No,1,84.7,3.3,No,2025-07-30
STU01048,Richard Munoz,36.0,Other,Germany,CRS167,IT & Software Masterclass Bootcamp,IT & Software,2224.2,2026-02-14,Tablet,Credit Card,17.2,93.1,In Progress,No,8,88.4,4.0,No,2026-05-14
STU00548,Jacqueline Villegas,20.0,Female,India,CRS192,Data Science Masterclass Beginner,data science,5436.36,2026-06-25,Mobile,Wallet,11.4,52.5,In Progress,No,3,68.0,3.6,No,2026-08-08
STU00676,Brandon Hunt,16.0,Male,Nigeria,CRS153,Data Science Masterclass Beginner,DataScience,3827.04,2026-05-24,Desktop,Wallet,7.8,60.4,In Progress,No,2,52.7,3.2,No,2026-08-10
STU00638,Michael Holloway,22.0,Other,USA,CRS169,Personal Development Masterclass Beginner,Personal Development,1324.43,2025-09-15,Desktop,Wallet,79.19999999999999,32.9,In Progress,No,2,88.6,3.5,No,2025-12-16
STU01010,Shane Short,26.0,Other,Canada,CRS119,Graphic Design Masterclass Advanced,graphic design,1157.23,2025-12-14,Desktop,,6.9,25.4,In Progress,No,3,65.1,3.0,No,2026-07-17
STU01149,Barbara Mckinney,23.0,Female,Nigeria,CRS101,Cloud Computing Masterclass Beginner,Cloud Computing,6807.89,2025-09-13,Mobile,Debit Card,11.8,43.3,In Progress,No,2,70.7,3.0,No,2026-03-11
STU01470,Lisa Barnes,15.0,Female,UK,CRS157,Cloud Computing Masterclass Bootcamp,Cloud Computing,6777.4,2025-09-06,Mobile,Debit Card,15.7,53.7,In Progress,No,3,72.9,2.9,No,2026-04-12
STU00938,James Nelson,43.0,Female,India,CRS147,Personal Development Masterclass Advanced,Personal Development,1100.99,2025-04-15,Mobile,Net Banking,29.2,96.2,Completed,Yes,3,78.3,5.0,No,2026-03-22
STU01144,Manuel Diaz,30.0,Female,UAE,CRS135,Personal Development Masterclass Bootcamp,Personal Development,814.14,2026-06-21,Mobile,Credit Card,17.2,100.0,Completed,Yes,4,61.7,4.5,No,2026-06-30
STU01450,David Martin,27.0,Female,Canada,CRS112,Business & Finance Masterclass Advanced,Business and Finance,3363.5,2026-08-06,Mobile,UPI,16.4,54.4,In Progress,No,3,76.2,4.2,No,2026-08-24
STU01229,Dennis Cooper PhD,27.0,Male,India,CRS193,Business & Finance Masterclass Intermediate,Business & Finance,3201.64,2025-07-01,Desktop,Net Banking,4.2,16.4,In Progress,No,3,81.2,3.7,No,2026-04-20
STU01018,Benjamin Austin,28.0,Female,Australia,CRS166,Digital Marketing Masterclass Bootcamp,Digital Marketing,1668.13,2026-03-18,Mobile,UPI,6.2,32.6,In Progress,No,1,88.7,3.6,No,2026-05-09
STU00727,Tracey Phillips,24.0,Female,UK,CRS180,Data Science Masterclass Advanced,data science,3433.21,2025-12-26,Tablet,Wallet,8.5,44.3,In Progress,No,5,62.6,4.0,No,2026-06-04
STU00202,Phillip Clark,28.0,Other,USA,CRS106,Web Development Masterclass Bootcamp,Web Dev,3226.87,2025-05-23,Mobile,Wallet,14.1,66.7,In Progress,No,5,73.6,4.2,No,2026-02-19
STU00364,Timothy Hayden DVM,15.0,Other,Philippines,CRS183,Web Development Masterclass Advanced,web dev,3840.82,2026-08-16,Desktop,Credit Card,13.8,71.4,In Progress,No,4,89.2,4.3,No,2026-08-29
STU00758,Joshua Roberts,30.0,Other,India,CRS173,Data Science Masterclass Bootcamp,Data Science,5125.11,2026-07-14,Mobile,Wallet,13.3,73.0,In Progress,No,3,89.4,3.5,No,2026-09-17
STU01268,James Fry MD,23.0,Other,India,CRS129,Personal Development Masterclass Intermediate,Personal Development,849.17,2025-07-28,Mobile,Debit Card,4.7,23.0,In Progress,No,0,,3.0,No,2026-03-30
STU00999,Sydney Robles,36.0,Male,USA,CRS175,Web Development Masterclass Beginner,Web Development ,2593.34,2025-09-05,Desktop,Wallet,13.2,45.9,In Progress,No,5,71.6,2.7,No,2026-01-10
STU01124,Jaime Walker,21.0,Male,Nigeria,CRS140,Data Science Masterclass Bootcamp,data science,2352.06,2025-05-08,Mobile,Debit Card,19.2,87.5,In Progress,No,5,80.3,5.0,No,2026-05-10
STU00486,Ashley Greer PhD,21.0,Other,USA,CRS152,Business & Finance Masterclass Bootcamp,Business and Finance,3053.31,2026-03-25,Mobile,Net Banking,10.0,56.9,In Progress,No,2,95.4,4.0,No,2026-06-29
STU01270,Alisha Rasmussen,19.0,Female,India,CRS140,Business & Finance Masterclass Bootcamp,Business & Finance,1117.4,2025-09-22,Desktop,Credit Card,2.4,6.3,Not Started,No,0,,,No,2026-06-07
STU01325,Jeffery Williams,44.0,Male,India,CRS151,Personal Development Masterclass Bootcamp,Personal Development,643.96,2026-05-12,Mobile,UPI,13.0,44.6,In Progress,No,1,79.8,4.3,No,2026-07-30
STU00682,Victor Nelson,19.0,Other,India,CRS162,Data Science Masterclass Beginner,Data Science,2715.26,2026-05-14,Mobile,Debit Card,31.4,92.2,In Progress,No,7,100.0,4.1,No,2026-06-06
STU00669,Joshua Wells,34.0,Male,India,CRS183,Data Science Masterclass Advanced,DataScience,3485.73,2026-03-10,Desktop,Net Banking,12.4,48.0,In Progress,No,3,65.0,4.1,No,2026-05-29
STU01003,Heather Montes,21.0,Female,India,CRS111,Data Science Masterclass Bootcamp,Data  Science,2479.5,2026-03-08,Mobile,Debit Card,11.3,52.9,In Progress,No,5,69.0,3.0,No,2026-08-10
STU01017,Fernando Thomas,37.0,Other,Canada,CRS153,Business & Finance Masterclass Beginner,Business and Finance,2212.09,2025-12-09,Mobile,Debit Card,6.4,27.3,In Progress,No,1,49.3,3.7,No,2026-02-05
STU00875,Andrea Harrison,35.0,Male,USA,CRS187,Cloud Computing Masterclass Advanced,cloud computing,3402.95,2026-07-23,Mobile,Credit Card,14.7,79.1,In Progress,No,6,85.8,4.3,No,2026-07-26
STU00626,Samantha Robertson,31.0,Male,UAE,CRS143,Web Development Masterclass Advanced,web dev,1499.05,2026-04-06,Desktop,Net Banking,3.7,23.3,In Progress,No,1,60.9,2.6,No,2026-08-09
STU00814,James Willis,31.0,Other,USA,CRS123,IT & Software Masterclass Bootcamp,IT & Software,3750.85,2026-08-16,Desktop,UPI,7.3,42.7,In Progress,No,3,71.4,4.5,No,2026-09-10
STU01192,Brandon Goodwin,25.0,Male,UAE,CRS161,Web Development Masterclass Bootcamp,web dev,1809.96,2025-12-09,Mobile,Credit Card,18.4,100.0,Completed,Yes,2,88.6,3.5,No,2026-07-13
STU01442,Carl Brown,23.0,Male,India,CRS193,Digital Marketing Masterclass Advanced,Digital Marketing,828.87,2026-03-06,Desktop,UPI,20.6,79.4,In Progress,No,8,86.6,4.3,No,2026-06-24
STU00339,Elizabeth Rogers,22.0,Male,Australia,CRS141,Web Development Masterclass Beginner,web dev,1567.25,2025-06-11,Mobile,Wallet,25.5,72.4,In Progress,No,8,83.5,3.5,No,2026-09-13
STU00173,Bob Pitts,15.0,Female,India,CRS193,Data Science Masterclass Bootcamp,Data Science,5227.12,2026-01-05,Mobile,Credit Card,4.1,14.6,In Progress,No,1,61.1,3.0,No,2026-07-26
STU01047,Mr. William Miller,26.0,Male,India,CRS197,Digital Marketing Masterclass Beginner,digital marketing,2799.12,2025-03-27,Desktop,UPI,5.0,31.2,In Progress,No,4,74.4,2.7,No,2026-04-20
STU00161,Michael Armstrong,20.0,Female,Canada,CRS196,Data Science Masterclass Bootcamp,DataScience,5578.15,2025-11-09,Mobile,Net Banking,4.9,33.4,In Progress,No,2,62.0,3.2,No,2026-02-17
STU00448,Eric Rush,28.0,Other,Australia,CRS183,Data Science Masterclass Advanced,data science,3457.57,2026-01-19,Mobile,Credit Card,13.4,44.3,In Progress,No,3,45.4,4.9,No,2026-03-07
STU00952,Tiffany Wilson,19.0,Male,India,CRS110,Digital Marketing Masterclass Intermediate,digital marketing,2984.98,2026-07-06,Desktop,Debit Card,6.9,25.8,In Progress,No,2,60.6,4.0,No,2026-07-29
STU00058,Mandy Green,19.0,Female,India,CRS194,Cloud Computing Masterclass Beginner,Cloud Computing,4405.7,2025-08-09,Mobile,Net Banking,12.2,61.2,In Progress,No,1,72.4,3.6,No,2025-08-10
STU01125,Brianna Reilly,37.0,Male,Germany,CRS150,Personal Development Masterclass Intermediate,Personal Development,1251.04,2025-11-17,Mobile,Credit Card,17.9,90.6,In Progress,No,4,76.3,4.8,No,2026-04-13
STU00320,Laura Curtis,29.0,Male,UK,CRS150,Web Development Masterclass Advanced,Web Development,1519.69,2025-04-02,Mobile,Debit Card,12.1,70.2,In Progress,No,2,98.9,3.8,No,2025-04-26
STU00718,Kelly Johnson,22.0,Female,India,CRS153,Cloud Computing Masterclass Bootcamp,Cloud Computing,3867.83,2025-08-13,Desktop,Net Banking,13.5,65.7,In Progress,No,1,85.2,4.6,No,2026-07-18
STU00598,Steve Moore,20.0,Female,India,CRS170,Data Science Masterclass Beginner,Data Science,1611.14,2025-04-04,Desktop,Credit Card,11.3,76.2,In Progress,No,3,88.3,5.0,No,2026-08-18
STU00075,Erin Edwards,39.0,Male,Germany,CRS188,Business & Finance Masterclass Intermediate,Business & Finance,3678.02,2025-09-23,Mobile,Wallet,6.5,49.7,In Progress,No,4,50.0,4.8,No,2025-10-18
STU01089,Laura Robertson,17.0,Male,Philippines,CRS161,Graphic Design Masterclass Advanced,Graphic Design,2379.89,2025-08-03,Desktop,Wallet,6.5,49.0,In Progress,No,3,84.5,4.8,No,2026-05-17
STU01214,Philip Bush,25.0,Female,UK,CRS161,IT & Software Masterclass Beginner,IT & Software,2471.99,2025-05-21,Desktop,Credit Card,7.4,54.9,In Progress,No,5,70.7,3.8,No,2025-07-13
STU00472,Amy Garcia,24.0,Female,USA,CRS117,Personal Development Masterclass Advanced,Personal Development,584.94,2025-07-03,Mobile,Wallet,8.7,36.4,In Progress,No,5,73.9,4.4,No,2026-05-31
STU01238,Gregory Stanley,27.0,Female,India,CRS141,Data Science Masterclass Intermediate,Data  Science,2086.98,2025-05-08,Mobile,Credit Card,22.3,100.0,Completed,Yes,5,100.0,4.3,No,2025-10-26
STU00566,Jason Pierce,21.0,Other,UAE,CRS179,IT & Software Masterclass Intermediate,IT & Software,2501.93,2026-02-02,Mobile,Credit Card,5.7,17.3,In Progress,No,2,61.1,3.1,No,2026-03-30
STU01417,Laurie Vasquez,36.0,Other,Philippines,CRS164,Cloud Computing Masterclass Advanced,cloud computing,5576.41,2025-05-20,Mobile,Debit Card,7.6,47.5,In Progress,No,6,54.6,4.8,No,2025-08-26
STU01242,James Armstrong,41.0,Other,India,CRS183,Graphic Design Masterclass Bootcamp,Graphic Design,2368.72,2026-01-16,Desktop,Net Banking,6.8,38.2,In Progress,No,2,79.9,3.0,No,2026-09-14
STU00254,Andrea Davis,24.0,Other,India,CRS152,Digital Marketing Masterclass Beginner,Digital Marketing,2279.41,2026-01-22,Desktop,Credit Card,13.6,71.9,In Progress,No,6,77.7,5.0,No,2026-07-29
STU00687,Ashley Jenkins,25.0,Male,India,CRS143,Data Science Masterclass Advanced,data science,2334.87,2026-08-04,Mobile,Net Banking,14.1,64.6,In Progress,No,6,91.4,3.3,No,2026-08-09
STU00225,Sergio Knight,17.0,Other,India,CRS181,Digital Marketing Masterclass Beginner,digital marketing,2943.23,2025-08-25,Mobile,Debit Card,11.4,47.9,In Progress,No,3,65.7,3.2,No,2026-01-04
STU00781,Mason Lewis,22.0,Other,India,CRS110,Digital Marketing Masterclass Bootcamp,Digital Marketing,2262.58,2025-05-29,Mobile,UPI,12.7,56.1,In Progress,No,0,,3.6,No,2025-08-15
STU00668,Martha Smith,22.0,Male,Australia,CRS157,Cloud Computing Masterclass Bootcamp,Cloud Computing,4603.28,2025-04-13,Desktop,Net Banking,10.5,67.2,In Progress,No,1,74.0,4.5,No,2026-09-15
STU01334,Vincent Savage,28.0,Female,India,CRS150,Graphic Design Masterclass Advanced,Graphic Design,1084.24,2026-02-28,Desktop,Wallet,8.2,33.6,In Progress,No,3,77.1,3.5,No,2026-07-04
STU01372,Terri Miller,36.0,Male,Singapore,CRS142,Personal Development Masterclass Advanced,Personal Development,1080.16,2025-06-02,Desktop,Debit Card,5.9,20.9,In Progress,No,1,58.8,3.1,No,2025-06-06
STU00473,Jim Baker,17.0,Male,UK,CRS146,Digital Marketing Masterclass Intermediate,Digital Marketing,955.53,2026-06-12,Mobile,Debit Card,14.9,43.1,In Progress,No,6,93.2,4.4,No,2026-06-30
STU01469,Vicki Greene,27.0,Other,India,CRS134,IT & Software Masterclass Beginner,IT & Software,3143.13,2025-09-11,Mobile,Wallet,39.4,96.5,Completed,Yes,4,97.9,4.2,No,2026-05-17
STU01133,Kenneth Smith,26.0,Other,UK,CRS143,Data Science Masterclass Intermediate,Data  Science,3450.94,2026-06-23,Desktop,Credit Card,7.2,19.4,In Progress,No,1,82.2,3.7,No,2026-08-13
STU00861,Gregory Fernandez,15.0,Female,Nigeria,CRS141,Web Development Masterclass Intermediate,web dev,4826.51,2025-12-14,Desktop,Credit Card,17.9,88.4,In Progress,No,4,79.2,4.4,No,2026-06-09
STU01371,Heidi Johnson,29.0,Male,India,CRS121,Personal Development Masterclass Beginner,Personal Development,838.09,2025-11-11,Mobile,Wallet,44.2,100.0,Completed,Yes,9,94.8,5.0,No,2026-08-03
STU00383,Jennifer Velasquez,38.0,Male,USA,CRS159,Data Science Masterclass Intermediate,DataScience,2943.85,2025-11-13,Tablet,Debit Card,17.5,74.7,In Progress,No,2,71.4,4.4,No,2026-07-20
STU00905,Heather Ellis,19.0,Female,Australia,CRS182,Graphic Design Masterclass Beginner,graphic design,1985.86,2025-10-19,Desktop,Debit Card,29.4,96.4,Completed,Yes,5,72.6,4.5,No,2025-11-23
STU01237,Steven Peterson,15.0,Male,UK,CRS102,Cloud Computing Masterclass Advanced,cloud computing,2930.66,2025-09-15,Mobile,,19.5,94.2,In Progress,No,3,76.2,3.1,No,2026-06-15
STU01227,Brittany Howell,30.0,Female,India,CRS126,Business & Finance Masterclass Bootcamp,Business and Finance,3489.87,2026-08-03,Mobile,Net Banking,17.2,59.9,In Progress,No,0,,4.3,No,2026-08-20
STU00391,Danielle Reed,15.0,Other,Australia,CRS140,Graphic Design Masterclass Intermediate,Graphic Design,2372.53,2025-12-25,Desktop,Wallet,17.5,92.9,In Progress,No,4,82.0,4.6,No,2026-05-16
STU01127,Michael Brown,15.0,Other,USA,CRS181,Data Science Masterclass Beginner,Data  Science,2106.94,2026-08-05,Desktop,Debit Card,5.7,38.3,In Progress,No,1,91.3,2.9,No,2026-08-13
STU00771,Mary Charles,28.0,Female,Nigeria,CRS173,IT & Software Masterclass Beginner,IT & Software,3629.24,2025-12-07,Desktop,Debit Card,3.2,20.9,In Progress,No,0,,4.2,No,2026-03-30
STU00624,Roger Adams,27.0,Other,India,CRS183,IT & Software Masterclass Intermediate,IT & Software,5223.33,2025-05-27,Desktop,Credit Card,12.5,59.2,In Progress,No,1,79.8,4.3,No,2026-09-05
STU00989,Ashley Blair,21.0,Other,UAE,CRS142,Business & Finance Masterclass Bootcamp,Business & Finance,2148.75,2025-12-15,Mobile,Net Banking,11.7,29.0,In Progress,No,3,82.9,3.9,No,2026-06-25
STU01406,Rebecca Zimmerman,,Other,USA,CRS168,IT & Software Masterclass Beginner,IT and Software,4686.38,2026-06-09,Mobile,Wallet,18.5,100.0,Completed,Yes,6,90.1,4.1,No,2026-08-19
STU01167,Kara Roberts,26.0,Other,India,CRS160,Digital Marketing Masterclass Advanced,digital marketing,893.44,2026-08-05,Mobile,Net Banking,2.3,20.3,In Progress,No,2,64.1,2.8,No,2026-08-19
STU00503,Christina Barker,31.0,Male,Australia,CRS161,Business & Finance Masterclass Bootcamp,Business & Finance,1271.26,2025-11-02,Mobile,Wallet,4.0,10.1,In Progress,No,0,,3.0,No,2025-11-02
STU00726,Maria Fischer,31.0,Other,India,CRS181,IT & Software Masterclass Bootcamp,IT and Software,3302.15,2026-05-22,Mobile,UPI,10.2,44.7,In Progress,No,3,76.8,3.1,No,2026-09-07
STU00296,Sergio Gomez,23.0,Female,UK,CRS114,Business & Finance Masterclass Intermediate,Business & Finance,2102.17,2026-03-10,Desktop,Net Banking,10.9,49.4,In Progress,No,3,79.8,3.6,No,2026-05-16
STU01431,Michael Lucas,31.0,Male,India,CRS104,Cloud Computing Masterclass Advanced,cloud computing,4265.12,2025-11-11,Mobile,Debit Card,12.9,71.5,In Progress,No,9,88.8,4.7,No,2026-05-16
STU00848,Christopher Morton,24.0,Other,India,CRS165,Digital Marketing Masterclass Intermediate,Digital Marketing,1796.6,2025-08-14,Desktop,Debit Card,24.9,92.0,In Progress,No,6,94.7,5.0,No,2026-04-23
STU00212,Zachary Schmidt,34.0,Male,USA,CRS194,IT & Software Masterclass Bootcamp,IT & Software,3297.4,2026-02-09,Mobile,Wallet,31.4,100.0,Completed,Yes,9,63.0,4.5,No,2026-06-10
STU00033,Taylor Heath,33.0,Male,Singapore,CRS169,Digital Marketing Masterclass Advanced,digital marketing,2618.21,2025-04-24,Mobile,Debit Card,16.3,76.0,In Progress,No,2,84.1,4.1,No,2026-03-13
STU01295,Adam Anderson,38.0,Female,India,CRS124,Data Science Masterclass Advanced,data science,5040.59,2025-09-26,Mobile,Credit Card,11.4,56.4,In Progress,No,8,69.7,4.1,No,2026-05-28
STU00909,Ralph Howe,25.0,Male,India,CRS159,Web Development Masterclass Intermediate,Web Dev,3724.51,2026-01-27,Mobile,Debit Card,7.6,28.6,In Progress,No,1,66.3,3.5,No,2026-06-07
STU00464,Brian Perry,25.0,Other,India,CRS174,Business & Finance Masterclass Beginner,Business and Finance,1797.06,2025-12-02,Mobile,Wallet,16.4,90.6,In Progress,No,7,99.4,4.1,No,2026-03-12
STU00595,Fernando Lynn,40.0,Other,Canada,CRS118,Graphic Design Masterclass Advanced,Graphic Design,2484.16,2025-04-26,,Debit Card,0.8,1.9,Not Started,No,0,,,No,2026-07-01
STU00401,James Webster,38.0,Female,USA,CRS101,Personal Development Masterclass Bootcamp,Personal Development,1035.47,2025-08-30,Mobile,Debit Card,7.7,48.5,In Progress,No,2,65.9,3.7,No,2026-02-05
STU00705,Ashley Perry,22.0,Other,India,CRS185,IT & Software Masterclass Bootcamp,IT and Software,2358.98,2025-11-10,Desktop,UPI,27.5,93.3,In Progress,No,6,77.0,4.5,No,2026-07-11
STU00897,Kenneth Huff,29.0,Other,India,CRS148,Graphic Design Masterclass Bootcamp,Graphic Design,1864.48,2025-07-01,Mobile,UPI,11.3,67.2,In Progress,No,4,80.0,4.2,No,2026-02-01
STU01074,Leah Lee,24.0,Other,Australia,CRS170,Cloud Computing Masterclass Bootcamp,cloud computing,3287.06,2026-04-22,Mobile,Debit Card,16.6,66.8,In Progress,No,5,60.8,3.7,No,2026-08-11
STU00679,Parker Davis,20.0,Other,Philippines,CRS159,Graphic Design Masterclass Beginner,Graphic Design,2759.36,2025-08-16,Desktop,Wallet,0.9,0.0,Not Started,No,0,,,No,2026-07-01
STU00896,Beverly Russo,35.0,Female,India,CRS100,Business & Finance Masterclass Bootcamp,Business & Finance,1756.59,2025-12-14,Mobile,Credit Card,19.2,91.8,In Progress,No,4,85.7,4.4,No,2026-01-01
STU01373,Antonio Malone,15.0,Male,Australia,CRS157,Cloud Computing Masterclass Bootcamp,cloud computing,6281.77,2025-08-28,Mobile,Net Banking,0.8,6.6,Not Started,No,0,,,No,2026-09-11
STU00832,Robert Mendoza,25.0,Other,USA,CRS142,Business & Finance Masterclass Bootcamp,Business & Finance,2857.28,2025-07-11,Desktop,Debit Card,10.6,48.4,In Progress,No,5,85.2,3.2,No,2026-03-18
STU01264,Tiffany Huynh,26.0,Male,Nigeria,CRS180,Data Science Masterclass Bootcamp,Data Science,5934.05,2026-07-14,Desktop,UPI,2.2,13.4,In Progress,No,0,,3.0,Yes,2026-08-17
STU00468,William Sanchez,,Other,Nigeria,CRS161,Digital Marketing Masterclass Intermediate,digital marketing,1356.24,2026-02-17,Desktop,Debit Card,9.0,49.5,In Progress,No,4,92.3,2.9,No,2026-07-11
STU01490,Jennifer Torres,27.0,Other,,CRS194,Web Development Masterclass Advanced,Web Development,4356.89,2025-07-10,Desktop,Debit Card,13.6,61.4,In Progress,No,3,71.4,4.2,No,2025-10-06
STU00616,Kelly Barnes,34.0,Male,India,CRS185,Graphic Design Masterclass Advanced,Graphic Design,2739.56,2026-06-13,Mobile,UPI,4.8,29.5,In Progress,No,1,84.0,4.7,No,2026-08-28
STU00261,Chad Jones,27.0,Male,Singapore,CRS105,Data Science Masterclass Intermediate,Data Science,4583.1,2026-07-21,Desktop,Wallet,11.3,47.6,In Progress,No,3,61.1,4.3,No,2026-08-18
STU00571,William Moreno,28.0,Female,UK,CRS176,Personal Development Masterclass Intermediate,Personal Development,1255.54,2026-06-25,Desktop,UPI,12.5,51.7,In Progress,No,5,89.6,4.7,No,2026-08-30
STU00963,Erik Carr,41.0,Male,Canada,CRS110,Data Science Masterclass Beginner,data science,5449.91,2025-04-09,Tablet,Net Banking,8.1,42.0,In Progress,No,1,91.9,2.8,No,2026-05-01
STU00618,Dustin Nichols,26.0,Male,Nigeria,CRS109,IT & Software Masterclass Advanced,IT and Software,2830.76,2026-07-10,Desktop,,7.1,24.3,In Progress,No,2,63.7,3.9,No,2026-08-18
STU00283,John Reid,27.0,Female,Nigeria,CRS143,Web Development Masterclass Advanced,Web Development ,4983.4,2026-08-11,Mobile,Debit Card,15.7,78.4,In Progress,No,4,100.0,4.2,No,2026-09-01
STU00366,Kathleen Mays,26.0,Male,India,CRS119,Business & Finance Masterclass Advanced,Business & Finance,1274.27,2025-08-13,Mobile,Wallet,2.9,0.0,Not Started,No,0,,,No,2026-09-13
STU00826,Susan Porter,24.0,Other,USA,CRS112,Business & Finance Masterclass Beginner,Business and Finance,3927.95,2025-08-05,Mobile,Debit Card,5.1,24.4,In Progress,No,3,59.3,3.4,No,2026-08-27
STU00670,Elizabeth Stanley,30.0,Male,India,CRS179,Digital Marketing Masterclass Intermediate,Digital Marketing,2158.93,2025-06-06,Mobile,Credit Card,8.4,41.8,In Progress,No,3,67.2,3.0,No,2026-04-28
STU01419,David Mercado,15.0,Female,Nigeria,CRS183,Web Development Masterclass Advanced,Web Dev,1370.3,2025-10-15,Desktop,Net Banking,13.3,88.6,In Progress,No,6,100.0,3.7,No,2026-03-27
STU00413,Timothy Riley,27.0,Female,Philippines,CRS122,Business & Finance Masterclass Intermediate,Business & Finance,3306.24,2025-07-11,Mobile,Net Banking,2.6,1.6,Not Started,No,0,,,No,2025-09-12
STU00617,Olivia Ayers,28.0,Male,India,CRS169,Business & Finance Masterclass Intermediate,Business and Finance,3669.06,2025-10-19,Mobile,Wallet,18.8,96.3,Completed,Yes,6,77.6,4.5,No,2025-12-07
